,init.walk,maxwalk,remaining walkers,duration (sec.),mean man,mean infil,Location,map_name,Cells,Min Depth (m),Max Depth (m),Seed,Resolution (m),scalar_str,Particle Scalar,Number of iterations (cells),Mean flow velocity (m/s),Time Step (s),Time at Step (s),Time at Step (min),Mean Source Rate (Rain Fall Excess) (m/s),Compute Time (s),particles,Particle Density
2,201570,50397,160152,7200,0.232658,0.0,clay-center,depth_1_025_5.030,468969,0.00038666639011353254,0.5834195017814636,5,1,025,0.25,1796,0.846637,0.295286,530.333656,8.838894266666667,5.974431e-06,103.18204116821288,50397.25,0.25
3,201570,50397,137675,7200,0.232658,0.0,clay-center,depth_1_025_5.040,468969,0.00038666639011353254,0.6359535455703735,5,1,025,0.25,2395,0.846637,0.295286,707.20997,11.786832833333333,5.974431e-06,103.18204116821288,50397.25,0.25
4,201570,50397,120342,7200,0.232658,0.0,clay-center,depth_1_025_5.050,468969,0.00038666639011353254,0.6867964863777161,5,1,025,0.25,2994,0.846637,0.295286,884.086284,14.7347714,5.974431e-06,103.18204116821288,50397.25,0.25
5,201570,50397,103262,7200,0.232658,0.0,clay-center,depth_1_025_5.060,468969,0.00038666639011353254,0.7404494285583496,5,1,025,0.25,3593,0.846637,0.295286,1060.962598,17.682709966666668,5.974431e-06,103.18204116821288,50397.25,0.25
6,201570,50397,85245,7200,0.232658,0.0,clay-center,depth_1_025_5.070,468969,0.00038666639011353254,0.8000078201293945,5,1,025,0.25,4191,0.846637,0.295286,1237.543626,20.6257271,5.974431e-06,103.18204116821288,50397.25,0.25
7,201570,50397,64429,7200,0.232658,0.0,clay-center,depth_1_025_5.080,468969,0.00038666639011353254,0.8495994210243225,5,1,025,0.25,4790,0.846637,0.295286,1414.41994,23.573665666666667,5.974431e-06,103.18204116821288,50397.25,0.25
8,201570,50397,43447,7200,0.232658,0.0,clay-center,depth_1_025_5.090,468969,0.00038666639011353254,0.8834041357040405,5,1,025,0.25,5389,0.846637,0.295286,1591.2962539999999,26.52160423333333,5.974431e-06,103.18204116821288,50397.25,0.25
9,201570,50397,26446,7200,0.232658,0.0,clay-center,depth_1_025_5.100,468969,0.00038666639011353254,0.904306948184967,5,1,025,0.25,5988,0.846637,0.295286,1768.172568,29.4695428,5.974431e-06,103.18204116821288,50397.25,0.25
10,201570,50397,14759,7200,0.232658,0.0,clay-center,depth_1_025_5.110,468969,0.00038666639011353254,0.9158766269683838,5,1,025,0.25,6587,0.846637,0.295286,1945.048882,32.41748136666667,5.974431e-06,103.18204116821288,50397.25,0.25
11,201570,50397,7837,7200,0.232658,0.0,clay-center,depth_1_025_5.120,468969,0.00038666639011353254,0.9222022294998169,5,1,025,0.25,7186,0.846637,0.295286,2121.925196,35.365419933333335,5.974431e-06,103.18204116821288,50397.25,0.25
0,201570,50397,191949,7200,0.232658,0.0,clay-center,depth_1_025_6.010,468969,0.00038666639011353254,0.45933642983436584,6,1,025,0.25,598,0.846637,0.295286,176.581028,2.9430171333333335,5.974431e-06,103.19863748550416,50397.25,0.25
1,201570,50397,184538,7200,0.232658,0.0,clay-center,depth_1_025_6.020,468969,0.00038666639011353254,0.5289735794067383,6,1,025,0.25,1197,0.846637,0.295286,353.457342,5.8909557,5.974431e-06,103.19863748550416,50397.25,0.25
2,201570,50397,160205,7200,0.232658,0.0,clay-center,depth_1_025_6.030,468969,0.00038666639011353254,0.5842479467391968,6,1,025,0.25,1796,0.846637,0.295286,530.333656,8.838894266666667,5.974431e-06,103.19863748550416,50397.25,0.25
3,201570,50397,137675,7200,0.232658,0.0,clay-center,depth_1_025_6.040,468969,0.00038666639011353254,0.6368988752365112,6,1,025,0.25,2395,0.846637,0.295286,707.20997,11.786832833333333,5.974431e-06,103.19863748550416,50397.25,0.25
4,201570,50397,120286,7200,0.232658,0.0,clay-center,depth_1_025_6.050,468969,0.00038666639011353254,0.6881338357925415,6,1,025,0.25,2994,0.846637,0.295286,884.086284,14.7347714,5.974431e-06,103.19863748550416,50397.25,0.25
5,201570,50397,103458,7200,0.232658,0.0,clay-center,depth_1_025_6.060,468969,0.00038666639011353254,0.7437872886657715,6,1,025,0.25,3593,0.846637,0.295286,1060.962598,17.682709966666668,5.974431e-06,103.19863748550416,50397.25,0.25
6,201570,50397,84991,7200,0.232658,0.0,clay-center,depth_1_025_6.070,468969,0.00038666639011353254,0.7999477982521057,6,1,025,0.25,4191,0.846637,0.295286,1237.543626,20.6257271,5.974431e-06,103.19863748550416,50397.25,0.25
7,201570,50397,64129,7200,0.232658,0.0,clay-center,depth_1_025_6.080,468969,0.00038666639011353254,0.8487069010734558,6,1,025,0.25,4790,0.846637,0.295286,1414.41994,23.573665666666667,5.974431e-06,103.19863748550416,50397.25,0.25
8,201570,50397,43333,7200,0.232658,0.0,clay-center,depth_1_025_6.090,468969,0.00038666639011353254,0.8830750584602356,6,1,025,0.25,5389,0.846637,0.295286,1591.2962539999999,26.52160423333333,5.974431e-06,103.19863748550416,50397.25,0.25
9,201570,50397,26274,7200,0.232658,0.0,clay-center,depth_1_025_6.100,468969,0.00038666639011353254,0.904912531375885,6,1,025,0.25,5988,0.846637,0.295286,1768.172568,29.4695428,5.974431e-06,103.19863748550416,50397.25,0.25
10,201570,50397,14543,7200,0.232658,0.0,clay-center,depth_1_025_6.110,468969,0.00038666639011353254,0.9176511764526367,6,1,025,0.25,6587,0.846637,0.295286,1945.048882,32.41748136666667,5.974431e-06,103.19863748550416,50397.25,0.25
11,201570,50397,7701,7200,0.232658,0.0,clay-center,depth_1_025_6.120,468969,0.00038666639011353254,0.9245526194572449,6,1,025,0.25,7186,0.846637,0.295286,2121.925196,35.365419933333335,5.974431e-06,103.19863748550416,50397.25,0.25
0,201570,50397,192000,7200,0.232658,0.0,clay-center,depth_1_025_7.010,468969,0.00038666639011353254,0.4605061411857605,7,1,025,0.25,598,0.846637,0.295286,176.581028,2.9430171333333335,5.974431e-06,103.47313213348389,50397.25,0.25
1,201570,50397,184446,7200,0.232658,0.0,clay-center,depth_1_025_7.020,468969,0.00038666639011353254,0.5299330949783325,7,1,025,0.25,1197,0.846637,0.295286,353.457342,5.8909557,5.974431e-06,103.47313213348389,50397.25,0.25
2,201570,50397,160235,7200,0.232658,0.0,clay-center,depth_1_025_7.030,468969,0.00038666639011353254,0.5841915607452393,7,1,025,0.25,1796,0.846637,0.295286,530.333656,8.838894266666667,5.974431e-06,103.47313213348389,50397.25,0.25
3,201570,50397,137663,7200,0.232658,0.0,clay-center,depth_1_025_7.040,468969,0.00038666639011353254,0.6377634406089783,7,1,025,0.25,2395,0.846637,0.295286,707.20997,11.786832833333333,5.974431e-06,103.47313213348389,50397.25,0.25
4,201570,50397,120638,7200,0.232658,0.0,clay-center,depth_1_025_7.050,468969,0.00038666639011353254,0.6896556615829468,7,1,025,0.25,2994,0.846637,0.295286,884.086284,14.7347714,5.974431e-06,103.47313213348389,50397.25,0.25
5,201570,50397,103620,7200,0.232658,0.0,clay-center,depth_1_025_7.060,468969,0.00038666639011353254,0.7447858452796936,7,1,025,0.25,3593,0.846637,0.295286,1060.962598,17.682709966666668,5.974431e-06,103.47313213348389,50397.25,0.25
6,201570,50397,85188,7200,0.232658,0.0,clay-center,depth_1_025_7.070,468969,0.00038666639011353254,0.8005563616752625,7,1,025,0.25,4191,0.846637,0.295286,1237.543626,20.6257271,5.974431e-06,103.47313213348389,50397.25,0.25
7,201570,50397,64201,7200,0.232658,0.0,clay-center,depth_1_025_7.080,468969,0.00038666639011353254,0.8491738438606262,7,1,025,0.25,4790,0.846637,0.295286,1414.41994,23.573665666666667,5.974431e-06,103.47313213348389,50397.25,0.25
8,201570,50397,43089,7200,0.232658,0.0,clay-center,depth_1_025_7.090,468969,0.00038666639011353254,0.882705807685852,7,1,025,0.25,5389,0.846637,0.295286,1591.2962539999999,26.52160423333333,5.974431e-06,103.47313213348389,50397.25,0.25
9,201570,50397,25998,7200,0.232658,0.0,clay-center,depth_1_025_7.100,468969,0.00038666639011353254,0.9040514826774597,7,1,025,0.25,5988,0.846637,0.295286,1768.172568,29.4695428,5.974431e-06,103.47313213348389,50397.25,0.25
10,201570,50397,14481,7200,0.232658,0.0,clay-center,depth_1_025_7.110,468969,0.00038666639011353254,0.9169416427612305,7,1,025,0.25,6587,0.846637,0.295286,1945.048882,32.41748136666667,5.974431e-06,103.47313213348389,50397.25,0.25
11,201570,50397,7701,7200,0.232658,0.0,clay-center,depth_1_025_7.120,468969,0.00038666639011353254,0.924020528793335,7,1,025,0.25,7186,0.846637,0.295286,2121.925196,35.365419933333335,5.974431e-06,103.47313213348389,50397.25,0.25
0,201570,50397,192036,7200,0.232658,0.0,clay-center,depth_1_025_8.010,468969,0.00038666639011353254,0.46038636565208435,8,1,025,0.25,598,0.846637,0.295286,176.581028,2.9430171333333335,5.974431e-06,102.8832573890686,50397.25,0.25
1,201570,50397,184566,7200,0.232658,0.0,clay-center,depth_1_025_8.020,468969,0.00038666639011353254,0.5302376747131348,8,1,025,0.25,1197,0.846637,0.295286,353.457342,5.8909557,5.974431e-06,102.8832573890686,50397.25,0.25
2,201570,50397,160273,7200,0.232658,0.0,clay-center,depth_1_025_8.030,468969,0.00038666639011353254,0.5838919878005981,8,1,025,0.25,1796,0.846637,0.295286,530.333656,8.838894266666667,5.974431e-06,102.8832573890686,50397.25,0.25
3,201570,50397,137726,7200,0.232658,0.0,clay-center,depth_1_025_8.040,468969,0.00038666639011353254,0.6369454264640808,8,1,025,0.25,2395,0.846637,0.295286,707.20997,11.786832833333333,5.974431e-06,102.8832573890686,50397.25,0.25
4,201570,50397,120374,7200,0.232658,0.0,clay-center,depth_1_025_8.050,468969,0.00038666639011353254,0.6885002851486206,8,1,025,0.25,2994,0.846637,0.295286,884.086284,14.7347714,5.974431e-06,102.8832573890686,50397.25,0.25
5,201570,50397,103354,7200,0.232658,0.0,clay-center,depth_1_025_8.060,468969,0.00038666639011353254,0.7421211004257202,8,1,025,0.25,3593,0.846637,0.295286,1060.962598,17.682709966666668,5.974431e-06,102.8832573890686,50397.25,0.25
6,201570,50397,84998,7200,0.232658,0.0,clay-center,depth_1_025_8.070,468969,0.00038666639011353254,0.7983464002609253,8,1,025,0.25,4191,0.846637,0.295286,1237.543626,20.6257271,5.974431e-06,102.8832573890686,50397.25,0.25
7,201570,50397,63911,7200,0.232658,0.0,clay-center,depth_1_025_8.080,468969,0.00038666639011353254,0.8470051884651184,8,1,025,0.25,4790,0.846637,0.295286,1414.41994,23.573665666666667,5.974431e-06,102.8832573890686,50397.25,0.25
8,201570,50397,43213,7200,0.232658,0.0,clay-center,depth_1_025_8.090,468969,0.00038666639011353254,0.8823497891426086,8,1,025,0.25,5389,0.846637,0.295286,1591.2962539999999,26.52160423333333,5.974431e-06,102.8832573890686,50397.25,0.25
9,201570,50397,26201,7200,0.232658,0.0,clay-center,depth_1_025_8.100,468969,0.00038666639011353254,0.9045782089233398,8,1,025,0.25,5988,0.846637,0.295286,1768.172568,29.4695428,5.974431e-06,102.8832573890686,50397.25,0.25
10,201570,50397,14623,7200,0.232658,0.0,clay-center,depth_1_025_8.110,468969,0.00038666639011353254,0.917565107345581,8,1,025,0.25,6587,0.846637,0.295286,1945.048882,32.41748136666667,5.974431e-06,102.8832573890686,50397.25,0.25
