,site_name,resolution,scalar,cells,particles,run_n,run_time,area_m2,area_km2,p_density,error,tri
204,clay-center,30,0.25,1693,423.25,4,0.2821931838989258,1523700,1.5237,0.25,0.04860730209436736,0.028
205,clay-center,30,0.25,1693,423.25,5,0.1071295738220214,1523700,1.5237,0.25,0.04860730209436736,0.028
206,clay-center,30,0.25,1693,423.25,6,0.1828565597534179,1523700,1.5237,0.25,0.04860730209436736,0.028
207,clay-center,30,0.25,1693,423.25,7,0.1561706066131591,1523700,1.5237,0.25,0.04860730209436736,0.028
208,clay-center,30,0.25,1693,423.25,8,0.2084543704986572,1523700,1.5237,0.25,0.04860730209436736,0.028
209,clay-center,30,0.25,1693,423.25,9,0.1176898479461669,1523700,1.5237,0.25,0.04860730209436736,0.028
210,clay-center,30,0.5,1693,846.5,0,0.1672382354736328,1523700,1.5237,0.5,0.034370552926110236,0.028
211,clay-center,30,0.5,1693,846.5,1,0.1094434261322021,1523700,1.5237,0.5,0.034370552926110236,0.028
212,clay-center,30,0.5,1693,846.5,2,0.1112565994262695,1523700,1.5237,0.5,0.034370552926110236,0.028
213,clay-center,30,0.5,1693,846.5,3,0.245908498764038,1523700,1.5237,0.5,0.034370552926110236,0.028
214,clay-center,30,0.5,1693,846.5,4,0.141796588897705,1523700,1.5237,0.5,0.034370552926110236,0.028
215,clay-center,30,0.5,1693,846.5,5,0.1514205932617187,1523700,1.5237,0.5,0.034370552926110236,0.028
216,clay-center,30,0.5,1693,846.5,6,0.1957514286041259,1523700,1.5237,0.5,0.034370552926110236,0.028
217,clay-center,30,0.5,1693,846.5,7,0.1510703563690185,1523700,1.5237,0.5,0.034370552926110236,0.028
218,clay-center,30,0.5,1693,846.5,8,0.1547658443450927,1523700,1.5237,0.5,0.034370552926110236,0.028
219,clay-center,30,0.5,1693,846.5,9,0.1168498992919921,1523700,1.5237,0.5,0.034370552926110236,0.028
220,clay-center,30,1.0,1693,1693.0,0,0.2327613830566406,1523700,1.5237,1.0,0.02430365104718368,0.028
221,clay-center,30,1.0,1693,1693.0,1,0.296940803527832,1523700,1.5237,1.0,0.02430365104718368,0.028
222,clay-center,30,1.0,1693,1693.0,2,0.2454321384429931,1523700,1.5237,1.0,0.02430365104718368,0.028
223,clay-center,30,1.0,1693,1693.0,3,0.1434028148651123,1523700,1.5237,1.0,0.02430365104718368,0.028
224,clay-center,30,1.0,1693,1693.0,4,0.335444688796997,1523700,1.5237,1.0,0.02430365104718368,0.028
225,clay-center,30,1.0,1693,1693.0,5,0.1681408882141113,1523700,1.5237,1.0,0.02430365104718368,0.028
226,clay-center,30,1.0,1693,1693.0,6,0.2692615985870361,1523700,1.5237,1.0,0.02430365104718368,0.028
227,clay-center,30,1.0,1693,1693.0,7,0.1736984252929687,1523700,1.5237,1.0,0.02430365104718368,0.028
228,clay-center,30,1.0,1693,1693.0,8,0.2838978767395019,1523700,1.5237,1.0,0.02430365104718368,0.028
229,clay-center,30,1.0,1693,1693.0,9,0.2336702346801757,1523700,1.5237,1.0,0.02430365104718368,0.028
